artist,title,writer,publisher,theme
Great Gaylord And The Condo Fucks,Rolling Stones Rice Krispies Jingle,Brian Jones,Copyright Control,Rolling Stones
Daddy Long Legs,Cocksucker Blues,Jagger-Richards,Copyright Control,Rolling Stones
Andy Shernoff And Daddy Long Legs,The Under Assistant West Coast Promotion Man,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Dave ""baby"" Cortez with Lonnie Youngblood And His Bloodhounds",Jumpin' Jack flash,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Lonnie Youngblood And His Bloodhounds,Monkey Man ,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
La La Brooks,Play With Fire,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Piggies, The",Parachute Woman,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Peyotes, Los",Pasemos La Noche Juntos,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Davila 666,Borrando El Negro ,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Luis And The Wildfires,Aqui En Mi Nube,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Los Vigilantes,Un Tono Mas Siniestro,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Barrence Whitfield And The Savages,One More Try,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Stompin' Riff Raffs,What A Shame,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Mark Sultan,Dandelion,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Broadway Laffayette,Backstreet Girl,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Guitar Lightnin' Lee And His Thunder Band,Little By Little,Nanker Phelge,"Abkco Music Pub, BMI",Rolling Stones
Homer Henderson,Grown Up Wrong,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Miriam,Some Things Just Stick In Your Mind,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Sam Elwitt Orchestra, The",In Another Land,Bill Wyman,"Abkco Music Pub, BMI",Rolling Stones
Fleshtones,Gotta Get Away,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Straitjackets,2000 Light Years From Home,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
King Khan and His Wild Dogs Of Kentucky,"Have You Seen Your Mother, Baby, Standing In The Shadow",Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Arkaics The,I'm Free,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Kai Ray,I Want Some Of That ,Kai Ray,publishing pending,jukebox series
Kai Ray,Trashman's Blues,Kai Ray,publishing pending,jukebox series
Turner Moore,I'll Be Leaving You ,Franklin|Sellers,publishing pending,jukebox series
Jack And The Knights ,Rrock The Blues Away,Groebner,publishing pending,jukebox series
Lonesome Drifter,Eager Boy(alt take),"L.C Pratt, Jr",publishing pending,jukebox series
Lonesome Drifter,Tear Drop Valley ,N.Summit|N.S Qualls,publishinf pending,jukebox series
Harlan Wolf,Radioactive Flip Flop,Levy|Robey|Freed,publishing pending,Jukebox series
Marty Waters,Midnight Blues,Levy|Robey|Freed,publishing pending,jukebox series
Nothing And The No Names,Bearsville Rock,Harper,publishing pending,jukebox series
Nothing And The No Names,Cute Little Sweetie,Harris|Harper,publishing pending,jukebox series
Deli-Cados,Granny Baby,Perdue,publishing pending,jukebox series
Jerry McCain And His Upstarts,Geronimo Rock & Roll,J. McCain,publishing pending,jukebox series
Jerry McCain And His Upstarts,Choo Choo Rock,J. McCain,publishing pending,jukebox series
Jerry McCain And His Upstarts,It Must Be Love,J. McCain,publishing pending,jukebox series
Jerry McCain And His Upstarts,I'm A Ding Dong Daddy From A Rock & Roll City,J. McCain,publishing pending,jukebox series
Jerry McCain And His Upstarts,Bell In My Heart,J. McCain,publishing pending,jukebox series
Jerry McCain And His Upstarts,My Next Door Neighbor,J. McCain,publishing pending,jukebox series
Jerry McCain And His Upstarts,Crying Like A Fool,J. McCain,publishing pending,jukebox series
Jerry McCain And His Upstarts,Rock & Roll Ball,J. McCain,publishing pending,jukebox series
Jerry McCain And His Upstarts,I Want SomeBody To Love,J. McCain,publishing pending,jukebox series
Jerry McCain And His Upstarts,Turn Your Damper Down,J. McCain,publishing pending,jukebox series
Nathaniel Mayer And The Shanks,Ride In My 225,Mayer,Trianon Publication,
Nathaniel Mayer And The Shanks,Mr. Santa Claus,Brown,Trianon Publication,holiday|christmas
Arthur Lee and the American Four,Stay Away ,Lee,"Cord/Grass Root/Popcorn Music, BMI",
Arthur Lee and the Grass Roots,You I'll Be Following,Lee,"trio Music, BMI",
New Surfsiders The,Kokomo,J. Phillips|S.McKenzie|M. Love|T. Melcher,,
New Surfsiders The,Good Vibrations,B. Wilson|M. Love,publishing pending,
New Surfsiders The,Smile Medley,Wilson|Parks|Love,publishing pending,
New Surfsiders The,Never Learn To Love,Wilson,publishing pending,
"Bollywood Argyles, The",Ali Oop,D. Frazier,publishing pendng,
"Bollywood Argyles, The",Vinda Loo,R. Sharpe,publishing pendng,
New Surfsiders The,Little Saint Nick,Wilson|Love,publishing pending,
New Surfsiders The,Ttil I Die,Wilson,Publishing pending,
New Surfsiders The,Dance Dance Dance,B. Wilson|C. Wilson|M.Love,publishing pending,
New Surfsiders The,Luau,B. Morgan,publishing pending,
Bloodshot Bill,Back in The USA,Chuck Berry,publishing pending,
Sun Ra,Sun Ra Centennial Memorial Souvenir,writer pending,publishing pending
Mick Collins And Danny Kroha,Summer Storms,Fowley|Collins|Kroha,publishing pending
Mick Collins And Danny Kroha,Welcome To The Cemetary Club,Fowley|Collins|Kroha,publishing pending
Mick Collins And Danny Kroha,Red,Fowley|Collins|Kroha,publishing pending
Mick Collins And Danny Kroha,Winter Blues and Greens,Fowley|Collins|Kroha,publishing pending
Mick Collins And Danny Kroha,Whispers And Pretty Horses,Fowley|Collins|Kroha,publishing pending
Mick Collins And Danny Kroha,Blue,Fowley|Collins|Kroha,publishing pending
Mick Collins And Danny Kroha,Infinite Sadness,Fowley|Collins|Kroha,publishing pending
