title,artist,catalogue,writer,publisher,theme
Pussy and Money ,The Dictators ,,A. Shernoff
I Love My Baby ,Various Artists ,CED-228,
Louie Louie ,The Alarm Clocks ,CED285,R. Berry
Hentchbeat ,The Hentchmen ,CED-237,The Hentchmen
Little Lil ,Various Artists ,CNW-911,
Wild Wild Lover ,The A-Bones ,CED-254,Benny Joy Eidson-John Taylor
Night Train ,Bobby Fuller ,CED260,
She Won't Come Back ,Various Artists ,ED 341,
High Wall ,The Wailers ,CNW 901,
Organ Twist ,"Arch Hall, Jr. & The Archers ",CED307,
Better Be Good ,The Real Kids ,CED-231,Jagger-Richards
Night Time Is The Right Time ,Various Artists ,CED-317,
Disintegration #2 ,The Ready Men ,CED244,Potter
Sleepin' With The TV On ,The Dictators ,CED-319,A. Shernoff
Let's Dance ,Various Artists ,,
Only Time Will Tell #2 ,Benny Joy ,ED-350,Benny Joy Eidson
Made in the Shade ,A-Bones ,CED-310,Dunlop 
Outboard Plum ,The Mad Daddy ,CED300,P. Myers
Let Me Come In ,Hasil Adkins ,CED-201,H. Adkins
Rock At The Hop ,Various Artists ,CED-226,
I Ain't Gonna Eat Out My Heat Anymore ,The Del-Tino's and The Hesitations ,CED-261,
Punchy Wunchy Wickey Wackey Woo ,Hasil Adkins ,CED-203,H. Adkins
You're Gone I'm Left ,Various Artists ,,T. Schmidling
The Worship Of A Statue ,Sun Ra ,ED-366,Sun Ra 
Someplace Else ,The Del-Aires ,ED-385,Linares 
Betty Sue ,T. Valentine ,CED280,Thurman Valentine
My Dear ,Various Artists ,CED-236,
My Friend ,Various Artists ,CNW-908,
Drown In My Own Tears ,Link Wray ,CED-253,
I Am Right! ,The Dictators ,DFFD-002,A. Shernoff
The Laugh's On You ,Various Artists ,ED 342,
Hot Cakes ,"Dave ""Baby"" Cortez ",ED-380,Cortez 
Almost There ,Various Artists ,CED306,
She's Alright ,The Real Kids ,CED-222,J. Felice
Wildcat Tamer ,Various Artists ,CED-314,Robinson
Stop What You're Doin' ,Long John Hunter ,CED270,Hunter
Boo Hoo ,Link Wray ,CED-210,
Rat Race ,Gino Washington ,CED-295,"George ""Gino"" Washington"
Military Mama ,The Ding-Dongs ,CED - 357,
O So Far Away ,The Gaye Blades ,ED-368,J. Swilley 
Half Ton Mama ,Various Artists ,CED291,
LeSabre Radar ,The Hentchmen ,CED294,The Hentchmen
Rhythm Rockers Dance Add #1 ,Wade Curtiss & The Rhythm Rockers ,CED-258,Derwald-Curtiss
Merry-Go-Round ,Various Artists ,,Lewis Reed
Shallow Grave ,The A-Bones ,CED-345,"A, Shernoff"
Constellation of a Fool ,Jack Starr ,ED-204,Munsey 
Friday At The Hideout ,Various Artists ,CED - 287,D. Leone
(Do The) Mashed Potatoes ,King Coleman ,CED298,Rozier
Teenage Love ,Various Artists ,CED-228,****
Who Will Save Rock And Roll? ,Various Artists ,,A. Shernoff
Bop Hop (Instrumental #1) ,Ron Haydock & The Boppers ,CED 247,Ron Haydock
Thunder And Lightening ,Bloodshot Bill ,ED-370,T. Boatman 
Jim's Jive ,Various Artists ,ED-371,Reese-Fletcher 
Second Time Around ,Various Artists ,CED275,
Struttin' ,Various Artists ,CED-234,
Louie Louie ,Various Artists ,CNW-907,R. Berry
Kapo ,The Untamed Youth ,CED-249,
Hot Skillet Momma (Alternate Take) ,Sun Ra ,CED-354,"A. Abraham, Sun Ra, Yochanan "
Button Nose ,Benny Joy ,ED-346,Benny Joy Eidson
Red Riding Hood And The Wolf ,Link Wray ,,
"Mister, You're A Better Man Than I ",Various Artists ,CED305,
Peanut Butter Rock And Roll ,Hasil Adkins ,CED-216,H. Adkins
Goin' To A Town ,Flat Duo Jets ,CED-241,Dex Romweber
Bad To Worse ,The Real Kids ,CED267,J. Felice
Don't Tease Me ,Question Mark & The Mysterians ,CED-262,Martinez
Why Pretend I Can Win ,Charlie Feathers ,CED-332,C. Feathers
Your Girl ,The Girls At Dawn ,CED - 361,Girls At Dawn
Rosie Lee ,The Rivieras ,CED-278,B. Dobslaw 
Detroit Michigan ,Andre Williams ,CED288,Clarke-Rice-Williams
Lucille ,Various Artists ,CNW912,
Hi Teen Outro ,Wade Curtiss & The Rhythm Rockers ,CED-258,Curtiss
Like My Baby ,Gino Washington ,CED-268,"Georeg ""Gino"" Washington"
Carol ,Bobby Fuller ,CED 318,C. Berry
You'll Be Mine ,Daddy Long Legs ,ED 382,B. Hurd 
KTNT Radio Spot ,The Sonics ,CNW 913,
I Don't need You Anymore ,Various Artists ,CED296,Connor
I Sez Baby ,Link Wray ,CED-210,
Hey Mrs. Jones ,Various Artists ,,Regan-Miller
Too Late For Your Lies ,The Flamin' Groovies ,CED 243,Loney-Jordan
All Of The Time ,Various Artists ,ED-362,Sir Winston and the Commons 
Podunk ,Various Artists ,ED-374,Smith-Taylor 
Pretty Pat ,Various Artists ,CED274,Hilburn
Reelin' And Rockin' ,Hasil Adkins ,CED-232,C. Berry
Your True Love ,Various Artists ,CED-320,C. Perkins
I Got Wheels ,The Hentchmen ,CED245,The Hentchmen
Summertime (Unissued) ,Sun Ra ,CED-352,"G. Gershwin, D. Heyward "
One Thing ,Various Artists ,ED 343,
Jack the Ripper ,Outcasts ,ED-378,F. L. Wray 
Alibis ,Various Artists ,CED305,
Somebody Help Me ,Hasil Adkins ,CED-217,H. Adkins
My Love Is Gone ,Various Artists ,CED-312,Pate
Eldorado ,The Church Keys ,CED-269,Aprill-Chalmers
Sea Of Flames ,The Flat Duo Jets ,CED-250,Dex  Romweber
I Jes Wanna Go To Bed ,Figures of Light ,CED-336,Downey
Little Mama ,Roy Head And The Traits ,CED - 358,Buie-Head
White Cliffs of Dover ,Various Artists ,Norton/Massabesic105,Stanley J. Lewis 
Hymn No. 5 ,The Mighty Hannibal ,CED290,James T. Shaw
The Witch ,Stud Cole ,CED293,******
Big River ,Wade Curtiss & The Rhythm Rockers ,CED-258,Trad.-arr: Curtiss
Shake Some Action ,The Flamin' Groovies ,CED 297,Jordan-Wilson
Nancy Jean ,Bobby Fuller ,CED 318,
No Graduation Kiss (Alternate Take) ,Various Artists ,ED 360,S. Herron-R. Hovorak 
A Certain Guy ,Mary Weiss ,CED-323,
Hang It Up ,King Coleman ,CED298,Coleman-Lowe
My Dawgy Heap ,The A-Bones ,CED-219,Miller-Linna
I Hear Voices ,Various Artists ,,Hawkins
Cat Man ,Ron Haydock & The Boppers ,CED 247,****
Crocodile Stroll ,King Uszniewicz And His Uszniewicztones/South Bay Surfers ,ED-359,"E. John, B. Taupin "
You Hold My Letters Not Me (Demo Version) ,Various Artists ,ED-372,Smith-Taylor 
If You Ever Need Me ,Various Artists ,CED274,Sahm
Flea Bitten Annie ,The A-Bones ,CED-233,Bennett-Miller
Trick Bag,Various Artists ,CNW-906,
The Rules Of Love ,Charlie Feathers ,CED246,C. Feathers
Black Sky And Blue Moon (Unissued) ,Sun Ra ,CED-353,Sun Ra 
Crash The Party (Demo) ,Benny Joy ,ED-347,Benny Joy Eidson-John Taylor
Is It a Dream? ,Figures of Light ,ED-377,"Wheeler Dixon, Michael Downey "
Without Her ,Various Artists ,CED304,
Dance Contest ,Link Wray ,CED-211,"F. L. Wray, Sr."
Golden Strings ,Flat Duo Jets ,CED-241,
September Gurls (Live) ,Big Star ,CED265,Chilton
Maintaining My Cool ,The A-Bones ,CED-310,Roslie
I Want To Love You ,Charlie Feathers ,CED-333,C. feathers
I'll Never Sing That Song Again ,John Felice & The Lowdowns ,CED-302,J. Felice
Shout ,The Rivieras ,CED-278,O. Isley - R. Isley - R. Isley 
Burning The Roses ,Andre Williams ,CED288,Williams-Verta-Ray-Linna
You Win Again ,Hasil Adkins ,CED-239,H. Williams
Jam & Jelly ,Various Artists ,CNW-911,
Celibate Stroll ,The Hentchmen ,CED-257,The Hentchmen
Fool Of Love ,Bobby Fuller ,CED260,
Sweet Little Rock'n Roller (Live) ,The Flamin' Groovies ,CED 255,C. Berry
Wailin' ,The Wailers ,CNW 901,
The Dog ,Terry Manning and The Wild Ones ,ED-374,Rufus Thomas 
Wild Guitar Trailer ,"Arch Hall, Jr. & The Archers ",CED307,
Some Love Like Yours ,The Real Kids ,CED-231,J. Felice
The Bad Bad Dolemite ,Various Artists ,CED-317,Rudy Ray Moore
Baja ,The Ready Men ,CED244,L. Hazlewood
Feelin' Fine ,The Alarm Clocks ,CED-321,Mike Pierce
Gone But Not Forgotten ,Kim Fowley ,CED-356,"Fowley, Miliman "
Dearest Darling ,Benny Joy ,ED-349,Benny Joy Eidson
Third Pint from the Sun ,A-Bones ,CED-310,Bennett 
Old Mother Geezer ,The Mad Daddy ,CED300,P. Myers
Dew Drop Inn ,Esquerita ,CED-202,
Mr. Guitar ,Flat Duo Jets ,CED-230,"F. L. Wray, Sr."
Red Line ,The Untamed Youth ,CED263,
Drive In ,The A-Bones ,CED-310,B. Wilson
Banshee ,Various Artists ,,Lee
