title,artist,catalogue,writer,publisher,theme
Seventh Heaven ,Various Artists ,CED-228,
I'm Alright ,The Alarm Clocks ,CED285,
Crisis ,Various Artists ,CED-235,
A-rab ,The Sonics ,CNW-909,
Gossip Gossip Gossip ,The A-Bones ,CED-254,Benny Joy Eidson-Eddie King
Pipeline ,Bobby Fuller ,CED260,
The Hill ,Various Artists ,ED 341,
Pigmy ,Various Artists ,CED-271,F. Dee-L. Papa
Archers Theme ,"Arch Hall, Jr. & The Archers ",CED307,
Mark Of The Squealer ,The A-Bones ,CED-224,Bennett
Nobody But You ,Various Artists ,CED-314,Arnold
Out Of Sight ,Link Cromwell & The Zoo ,CED273,
Baby Let's Twist ,The Dictators ,CED-319,A. Shernoff
I Don't Want No Bald Headed Woman Telling Me What To Do ,Various Artists ,,Nathaniel Mayer
Queen Of My Heart ,Benny Joy ,ED-350,Benny Joy Eidson
All Night Long ,A-Bones ,CED-310,Shell 
A Little Mello Jello & Some Winky Blinky Juice ,The Mad Daddy ,CED300,P. Myers
Do It To Me Tonight ,Hasil Adkins ,CED-201,H. Adkins
Rockateen ,Various Artists ,CED-226,
Baby Jean ,The Del-Tino's and The Hesitations ,CED-261,
Matchbox ,Hasil Adkins ,CED-203,
We're Getting Closer To Being Apart ,Various Artists ,,
I Speak Of Everything ,Sun Ra ,ED-366,Sun Ra 
Arlene ,The Del-Aires ,ED-385,Linares 
Betty Sue ,T. Valentine ,CED280,Thurman Valentine
Easy Rhythm ,Various Artists ,CED-236,
Little Girl ,Various Artists ,CNW-908,***
Some Kinda Fun ,The Untamed Youth ,CED-249,
What's Up With That? ,The Dictators ,DFFD-002,A. Shernoff
They Hear About Us ,Various Artists ,ED 342,
Scotora Mull ,Outcasts ,ED-378,"Hollihan, Coester "
Little Latin Lupe Lu ,Various Artists ,CED306,
My Way ,The Real Kids ,CED-222,
Baby Let's Play House ,Various Artists ,CED-314,
I Don't Care ,Long John Hunter ,CED270,Roberts
Lawdy Mis Clawdy ,Link Wray ,CED-210,
Gimme Gimme Gimme ,Figures of Light ,CED-336,Dixon
Last Laugh ,The Ding-Dongs ,CED - 357,
Baby You Know You're Wrong ,Various Artists ,Norton/Massabesic105,G. Cromwell 
Big Chief Hug-Um An' Kiss-Um ,The Mighty Hannibal ,CED290,Harris-Shaw
Pack Up & Go ,The Hentchmen ,CED294,***
Rhythm Rockers Dance Add #2 ,Wade Curtiss & The Rhythm Rockers ,CED-258,Curtiss
Weird ,Various Artists ,,
Cat Nip ,The A-Bones ,CED-345,Clowney-Wood
I Need Your Luven ,Jack Starr ,ED-204,Jason Patrick Munsey 
Nobody Knows (But I Do) ,Mary Weiss ,CED-323,Maltz-Abramson
Black Bottom Blues ,King Coleman ,CED298,Coleman
Rattle Shakin' Mama ,Various Artists ,CED-228,
Hot Lips Baby ,Various Artists ,,Duncan
I Stand Alone ,Ron Haydock & The Boppers ,CED 247,Ron Haydock
The Hunt ,Bloodshot Bill ,ED-370,Bloodshot Bill 
The Glory of Love ,Various Artists ,ED-372,Thayer 
I Want You ,Various Artists ,CED275,
The Phantom ,Various Artists ,CED-234,
Werewolf ,Various Artists ,CNW-906,
This Lonesome Feeling ,Charlie Feathers ,CED246,C. Feathers
Message To The Earthman #2 (Alternate Take) ,Sun Ra ,CED-354,"McCarey, Sun Ra, Yochanan "
We'll Meet Again ,Benny Joy ,ED-346,Benny Joy Eidson
Genocide ,Link Wray ,,"F.L. wray, Sr."
I'll Never Be Happy ,Various Artists ,CED305,
Roll Roll Train ,Hasil Adkins ,CED-216,H. Adkins
Mexicali Baby ,Flat Duo Jets ,CED-241,
She ,The Real Kids ,CED267,J. Felice
I'll Be Back ,Question Mark & The Mysterians ,CED-262,Martinez
Release Me ,Charlie Feathers ,CED-332,C. Feathers
Tandoori Party ,The Tandoori Knights ,CED - 363,
Let's Dance ,The Rivieras ,CED-278,J. Lee 
Put That Skillet Away ,Andre Williams ,CED288,Peitsch-Chalmers
Whole Lotta Shakin' Goin On ,Various Artists ,CNW912,
Chrissy Rides Again ,The Hentchmen ,CED-257,The Hentchmen
I Still Miss Someone ,Hasil Adkins ,CED-239,Cash
Flirty Baby #1 ,Link Wray ,CED-210,
Hey I'm A Love Bandit ,Gino Washington ,CED-295,"George ""Gino"" Washington"
Nervous Breakdown ,Bobby Fuller ,CED 318,Roccuzzo
Sittin' Shotgun ,Daddy Long Legs ,ED 382,C. Burnett 
Can't Help It Blues ,Various Artists ,CED291,H. Adkins
Betty Jo ,Various Artists ,CED296,
Blue Yonder ,Flat Duo Jets ,CED-259,Dex Romweber
Stay Away ,Various Artists ,,A. Lee
Summertime ,Various Artists ,CED-910,
Sinner Man (Version 2) ,Esquerita ,ED-381,Traditional - arr. Eskew Reeder 
Get Down On Your Knees ,Various Artists ,CED - 287,Leone-Brown-Whitehouse-Seger
"Agile, Mobile & Hostile ",Andre Williams & Green Hornet ,CED299,Williams-Collins-Kroha
Deep River Blues ,Various Artists ,CED-227,Maltais
What A Way To Die ,Various Artists ,CED - 287,D. Leone
Taxi Boys ,The Real Kids ,CED-266,J. Felice
Rally In The Valley ,Various Artists ,,Rudy Ray Moore
They Can't Accept Me ,Sun Ra ,ED-365,Sun Ra 
Don't Be Unfair ,Various Artists ,ED-371,Taylor 
Trash ,New York Dolls ,CED279,
Medicine Man ,Various Artists ,CED-234,
Louie Come Back ,Various Artists ,CNW-907,
I Live For Cars And Girls ,The Untamed Youth ,CED-249,"A, Shernoff"
Africa (Extended Version) ,Sun Ra ,CED-352,Sun Ra 
I Feel So Well ,Various Artists ,ED 343,
Torture ,Outcasts ,ED-378,"Sundquist, Humphrey "
Jack The Ripper ,Various Artists ,CED305,Jack and the Rippers
Lonely Love ,Hasil Adkins ,CED-217,H. Adkins
"Jump, Wiggle, And Shake ",Various Artists ,CED-312,
Chicken Baby Chicken ,The Church Keys ,CED-269,Harris
I Wish I Was Eighteen Again ,The Flat Duo Jets ,CED-250,Throckmorton
One More Time ,Charlie Feathers ,CED-332,C. Feathers
Come Here To Die ,The Girls At Dawn ,CED - 361,Girls At Dawn
Sandy ,Various Artists ,Norton/Massabesic105,B. and T. Mancuso 
Get Back ,The Mighty Hannibal ,CED290,James T. Shaw
Tirone Real Estate Radio Ad ,Stud Cole ,CED293,
Hi Teen Interview ,Wade Curtiss & The Rhythm Rockers ,CED-258,Curtiss
Gino Is A Coward ,Gino Washington ,CED-268,"George ""Gino"" Washington"
New Orleans / Little Bitty Pretty One ,Bobby Fuller ,CED 318,
How Much Do You Miss Me (Demo Version) ,Various Artists ,ED 360,H. Stone-S. Herron 
Goin' Back To Granny's ,The Sonics ,CNW 913,
Blue Grey Christmas ,King Coleman ,CED298,Reese-Coleman-Wigler
Time Machine ,The A-Bones ,CED-219,Harlow-Drew-Glenfield
September Gurls ,Various Artists ,,Chilton
Rat Pfink (Dialogue #1) ,Ron Haydock & The Boppers ,CED 247,Ron Haydock
Running Bear ,King Uszniewicz And His Uszniewicztones/South Bay Surfers ,ED-359,J.P. Richardson 
Eastwood High Dance Radio Spot ,Various Artists ,ED-374,B. Fuller
Why Why Why ,Various Artists ,CED274,D. Sahm
Oasis - Part Three ,The A-Bones ,CED-233,J. Blum-C. Allen
Since You've Been Gone ,Various Artists ,CNW-906,
Walkin' Alone ,Charlie Feathers ,CED246,C. Feathers
Little Sally Walker (Unissued) ,Sun Ra ,CED-353,"Trad., arr. Sun Ra "
Hold My Hand ,Benny Joy ,ED-347,JohnTtaylor
Family Fun Night ,Figures of Light ,ED-377,"Winston Wheeler Dixon, Michael Downey "
Two Potato ,Various Artists ,CED304,
The Outlaw ,Link Wray ,CED-211,"F.L. Wray, Sr."
The Lonesome Road ,Flat Duo Jets ,CED-230,
Life Story ,The Hentchmen ,CED264,The Hentchmen
Baby Doll ,The A-Bones ,CED-310,Clement
Two To Choose ,Charlie Feathers ,CED-333,C. Feathers
Nothing Pretty ,John Felice & The Lowdowns ,CED-302,J. Felice
"You're the Only One, Delores ",Various Artists ,Norton/The Wind 002,Nolan Strong 
Problems ,The Real Kids ,CED286,
Find Me A Girl ,The Hentchmen ,CED-237,The Hentchmen
War Paint ,Various Artists ,CNW-911,
Number Nine Train ,Dale Hawkins ,CED-256,Robinson
(You're So Square) Baby I Don't Care ,Bobby Fuller ,CED260,
Slow Death (Live) ,The Flamin' Groovies ,CED 255,Loney-Jordan
Long Gone ,The Wailers ,CNW 901,
Money & Records ,"Arch Hall, Jr. & The Archers ",CED307,
Can't Shake That Girl ,The Real Kids ,CED-231,J. Felice
Leave Me Alone ,Various Artists ,CED-317,
Bull Session With The Big Daddy ,The Ready Men ,CED244,****
Baby ,The Alarm Clocks ,CED-321,Mike Pierce
Ghost Train (Unissued) ,Kim Fowley ,CED-356,N. Venet 
I'm Gonna Move (Demo) ,Benny Joy ,ED-349,Benny Joy Eidson
Do De Squat ,A-Bones ,CED-310,Turnero-Thomas 
Record Rendezvous ,The Mad Daddy ,CED300,P. Myers
Ha Ha Cat Walk Baby ,Hasil Adkins ,CED-201,H. Adkins
Shimmy Shakin' Daddy ,Flat Duo Jets ,CED-230,
Go! Go! Go! ,The Del-Tino's and The Hesitations ,CED-261,
It's A Hard Life ,The A-Bones ,CED-310,Sky Saxon
Study Hall ,Various Artists ,,
The Past Is A Dream ,Sun Ra ,ED-366,Sun Ra 
Cell Phone ,T. Valentine ,ED-387,T. Valentine 
Chicken Twist 1962 ,Hasil Adkins ,CED281,H. Adkins
Lost In Dreams ,Various Artists ,CED-235,
Keep A-knockin' ,The Sonics ,CNW-909,Penniman
Lillian ,Link Wray ,CED-253,"F.L. Wray, Sr."
Pamela ,Bobby Fuller ,CED252,
Get On My Train ,Various Artists ,ED 344,x
The Greaser ,Various Artists ,CED-271,C. Watson
Phantom ,Various Artists ,CED306,
Lordy Hoody ,The A-Bones ,CED-224,Blake-Hall-Adams
Rodin Furniture ,Various Artists ,CED-314,Bolton
Midnight Stroll ,Long John Hunter ,CED270,Hunter
The Witch ,Various Artists ,,
Doctor Boogie (Live) ,The Flamin' Groovies ,CED 243,Loney-Jordan
Watusi ,Various Artists ,ED-362,Invictas 
Just This Once ,Terry Manning and The Wild Ones ,ED-374,Curtis-Mauldin-Sinks 
Theme From Wild Guitar ,"Arch Hall, Jr. & The Archers ",CED307,
Chicken Walk ,Hasil Adkins ,CED-232,H. Adkins
Pink Pedal Pushers And Bright Red Hair ,Various Artists ,CED-320,Gene Rambo
J-5 ,The Hentchmen ,CED245,The Hentchmen
Moccasin ,Kim Fowley ,CED-355,D. Weaver 
Lucky Little Old Me ,Benny Joy ,ED-348,Benny Joy Eidson
Baby Doll ,A-Bones ,CED-310,Clement 
Immaculate Conception Record Hop ,The Mad Daddy ,CED300,P. Myers
Street Fighter ,Link Wray ,CED-211,"F.L. Wray, Sr."
Yer Gonna Hafta Ball That's All ,Flat Duo Jets ,CED-230,
So Many Girls ,The Hentchmen ,CED264,The Hentchmen
Why Why Why w/Rudy Grayzell ,The A-Bones ,CED-310,Sahm
We're Getting Closer To Being Apart ,Charlie Feathers ,CED-334,
I Am Right! ,The Dictators ,,A. Shernoff
"Hep 2, 3, 4 ",Various Artists ,CED-228,
Route 66 ,The Alarm Clocks ,CED285,Troup
Minus One-Blast Off ,Various Artists ,CED-235,
Shanghied ,The Sonics ,CNW-909,
Button Nose - Live Version ,The A-Bones ,CED-254,Benny Joy Eidson
My Own True Love (El Paso Version) ,Bobby Fuller ,CED260,
You Don't Worry Me ,Various Artists ,ED 341,x
Tight Spot ,Various Artists ,CED-271,Hotchkiss
Further On Up The Road ,"Arch Hall, Jr. & The Archers ",CED307,
The Fez Man Walks ,The A-Bones ,CED-224,Bennett
Lotta Lovin' ,Various Artists ,CED-314,
Tell Me ,Link Cromwell & The Zoo ,CED273,Jagger-Richards
Borneo Jimmy ,The Dictators ,CED-319,A. Shernoff
Trick Bag ,Various Artists ,,
Everybody's Boppin' ,Various Artists ,CED-910,C. Watson
It's a Hard Life ,A-Bones ,CED-310,Saxon 
Man-Eating Plant ,The Mad Daddy ,CED300,P. Myers
I Need Your Head (This Ain't No Rock N' Roll Show) ,Hasil Adkins ,CED-201,H. Adkins
She's Mine ,Various Artists ,CED-226,
Believe What You Say ,The Del-Tino's and The Hesitations ,CED-261,
Haunted House ,Hasil Adkins ,CED-203,
Scalping Party ,Various Artists ,,
The Universe Sent Me ,Sun Ra ,ED-366,Sun Ra 
The Crawl ,The Del-Aires ,ED-385,McTernon-Minut 
Wake Up Wake Up Black Man ,T. Valentine ,CED280,Thurman Valentine
Falling Star ,Various Artists ,CED-236,
Dear John ,Various Artists ,CNW-908,
Laughin' Linda ,The Untamed Youth ,CED-249,
In The Presence Of A New God ,The Dictators ,DFFD-002,A. Shernoff
Should I ,Various Artists ,ED 342,
Burning Rubber ,Outcasts ,ED-378,Ken Hollihan 
Trippin' ,Various Artists ,CED306,
When I Saw You Last Night ,Hasil Adkins ,CED-217,H. Adkins
W.W. Johnson Auto Sales ,Various Artists ,CED-314,Bolton
Work With It ,The Church Keys ,CED-269,Pipkins
Tell Django ,The Flat Duo Jets ,CED-250,Dex Romweber
Seething Psychosexual Conflict Blues ,Figures of Light ,CED-336,Downey
Don't Be Blue ,Roy Head And The Traits ,CED - 358,Head-Gibson-Bolton-Frazier-Buie-Pennington
Love Was Made for Everyone ,Various Artists ,Norton/Massabesic105,
Please Take A Chance On Me ,The Mighty Hannibal ,CED290,Aleong-Shaw-Harris
Burn Baby Burn ,Stud Cole ,CED293,
Rock-A-Beat ,Wade Curtiss & The Rhythm Rockers ,CED-258,Curtiss
Walking Beside You ,Various Artists ,,
Bad Times ,The A-Bones ,CED-345,Lipscomb
Beat Doll ,Jack Starr ,ED-204,J. Munsey 
Stop And Think It Over ,Mary Weiss ,CED-323,Greg Cartwright
Do The Hully Gully ,King Coleman ,CED298,Alaimo
Wild Little Willie ,Various Artists ,CED-228,
The Limp ,Various Artists ,,
Rollin' Danny ,Ron Haydock & The Boppers ,CED 247,
Stop! ,Bloodshot Bill ,ED-370,D. Cole 
Evening Shadows ,Various Artists ,ED-372,Thayer 
Too Much ,Various Artists ,CED275,
Wooly Bully Espanol ,Various Artists ,CED-234,Samudio
Linda Lu ,Various Artists ,CNW-906,Sharpe
Live & Let Live ,Charlie Feathers ,CED246,C. Feathers
I Am Gonna Unmask The Batman (extended Version) ,Sun Ra ,CED-354,"A. Abraham, L. Gibson "
Spin The Bottle ,Benny Joy ,ED-346,Benny Joy Eidson-Shelby Singleton
Some Kinda Nut ,Link Wray ,,"F.L. Wray, Sr."
I Can't Go On Loving You ,Various Artists ,CED305,****
Come On And Do The Shake With Me ,Hasil Adkins ,CED-216,H. Adkins
Whoa Blue Baby ,Flat Duo Jets ,CED-241,Dex Romweber
Back Of A Car (Studio Rehearsal) ,Big Star ,CED265,Chilton-Hummel
You Made Me Cry ,Bobby Fuller ,CED252,
Do You Love Me ,Various Artists ,ED 344,Younger Set
Congo Mombo ,Various Artists ,CED-271,Gable-Miller
It's Allright ,Various Artists ,CED306,
Sinner's Theme ,The A-Bones ,CED-224,****
Sinclair Gasoline ,Various Artists ,CED-314,Bolton
Shuffle Out ,Long John Hunter ,CED270,Hunter
Hillbilly Wolf ,Link Wray ,CED-210,
I Gotta Move On ,Gino Washington ,CED-295,"George ""Gino"" Washington"
California Sun ,Bobby Fuller ,CED 318,
Candy Sue ,Daddy Long Legs ,ED 382,B. Hurd 
My Special Girl ,Various Artists ,CED291,
The Third Degree ,Various Artists ,CED296,
Michelle ,Flat Duo Jets ,CED-259,Dex Romweber
99 Chicks ,Various Artists ,,Ron Haydock
Rockin' Heart ,Various Artists ,CED-910,
My Love for You Is Petrified ,Jack Starr ,ED-204,J. Munsey 
You're Gonna Be Mine ,Various Artists ,CED - 287,D. Leone
I Can tell ,Andre Williams & Green Hornet ,CED299,E. McDaniel
Movin' Too Slow ,Various Artists ,CED-227,
I Tried ,Various Artists ,CED - 287,Hamilton
Up Is Up ,The Real Kids ,CED-266,J. Felice
Rock-N-Bones ,Various Artists ,,
My World Is The Space Way ,Sun Ra ,ED-365,Sun Ra 
Thunder ,Various Artists ,ED-371,Taylor 
Don't Start Me Talkin' ,New York Dolls ,CED279,
Green'ich Grendel ,Various Artists ,CED-234,
Mary Ann ,Various Artists ,CNW-907,
The Gasser ,The Untamed Youth ,CED-249,
It's Christmas Time (45 Version) ,Sun Ra ,CED-352,"Sun Ra, A. Abraham "
Train To Nowhere ,Various Artists ,ED 343,
Drag Strip ,Link Wray ,,
I'm All Right ,Various Artists ,CED305,
Louise ,Hasil Adkins ,CED-217,H. Adkins
You're A Bundle Of Love (early version) ,Various Artists ,CED-312,Benny Joy Eidson
Can't Talk To That Girl ,The Real Kids ,CED267,J. Felice
Smokes ,Question Mark & The Mysterians ,CED-262,Martinez
Am I That Easy To Forget? ,Charlie Feathers ,CED-332,
Miss Me ,The Girls At Dawn ,CED - 361,Girls At Dawn
Margie ,Various Artists ,Norton/Massabesic105,
Good Time ,The Mighty Hannibal ,CED290,Iames T. Shaw
Frankie & Johnnie ,Various Artists ,CNW912,
Terock ,Wade Curtiss & The Rhythm Rockers ,CED-258,Curtiss
Baby Be Mine ,Gino Washington ,CED-268,"George ""Gino"" Washington"
Wine Wine Wine ,Bobby Fuller ,CED 318,
Rock in My Arms ,Various Artists ,ED 360,H. Stone 
Night Train ,The Sonics ,CNW 913,
All By Myself ,Various Artists ,CED296,
She's Gotta Be Boss ,The A-Bones ,CED-219,Sahm
Jungle Stomp ,Various Artists ,,Clark
Rat Pfink (Dialogue #2) ,Ron Haydock & The Boppers ,CED 247,
Walk Like A Man ,King Uszniewicz And His Uszniewicztones/South Bay Surfers ,ED-359,"B. Crewe, B. Gaudio "
Judy ,Various Artists ,ED-374,Flannigan 
Baby Tell Me ,Various Artists ,CED274,Sahm
Good Golly Miss Molly ,Hasil Adkins ,CED-232,
No Werewolf ,Various Artists ,CNW-906,
Early In The Morning ,Charlie Feathers ,CED246,C. Feathers
I'm So Glad You Love Me (45 Version) ,Sun Ra ,CED-353,"J. Rogers, L. Hollings "
I'm Gonna Move ,Benny Joy ,ED-348,Benny Joy Eidson
A+ ,Figures of Light ,ED-377,"Wheeler Dixon, Michael Downey "
Thanks A Lot Baby ,Various Artists ,CED304,
Rawhide '63 ,Link Wray ,CED-211,F. L. Wary Sr.
Lover ,Flat Duo Jets ,CED-230,
Take Me Back To The Arcade ,The Hentchmen ,CED264,The Hentchmen
Louie Go Home ,The A-Bones ,CED-310,Revere-Lindsay
Feel Good Again ,Charlie Feathers ,CED-333,
Don't Make Me Wait ,John Felice & The Lowdowns ,CED-302,J. Felice
The Way You Dog Me Around ,Various Artists ,Norton/The Wind 002,Nolan Strong 
Common At Noon ,The Real Kids ,CED286,J. Felice
County Line ,The Hentchmen ,CED-237,C. Berry
Ready To Rock ,Various Artists ,CNW-911,
Daredevil ,Dale Hawkins ,CED-256,
Miserlou ,Bobby Fuller ,CED260,
Teenage Head (Live) ,The Flamin' Groovies ,CED 255,
Gunnin' For Peter ,The Wailers ,CNW 901,
Eegah Crashes The Party ,"Arch Hall, Jr. & The Archers ",CED307,
Up Is Up ,The Real Kids ,CED-231,J. Felice
My Lonely Island ,Various Artists ,CED-317,
Lucille ,The Ready Men ,CED244,
I Love You Baby ,The Alarm Clocks ,CED-321,Mike Pierce
Bounty Hunter ,Kim Fowley ,CED-356,D. Lockwald 
Love Zone ,Benny Joy ,ED-350,Benny Joy Eidson
Why Why Why ,A-Bones ,CED-310,Sahm 
Hangin' From The Ceiling ,The Mad Daddy ,CED300,P. Myers
Chicken Walk ,Hasil Adkins ,CED-201,H. Adkins
The Raging Sea ,Various Artists ,CED-226,G. Maltais
Happy Happy Birthday Baby ,The Del-Tino's and The Hesitations ,CED-261,
Ain't It A Shame ,Question Mark & The Mysterians ,CED-262,Martinez
One Good Gal ,Charlie Feathers ,CED-333,C. Feathers
Bandstand ,The Tandoori Knights ,CED - 363,
What'd I Say ,The Rivieras ,CED-278,R. Charles 
Soul Brother In Heaven & Hell ,Andre Williams ,CED288,Williams-Verta-Ray-Linna
Twenty Eight Years ,Hasil Adkins ,CED-239,H. adkins
I Love A Girl ,Various Artists ,CNW912,Valley
Exit 154 ,The Hentchmen ,CED-257,The Hentchmen
Better Watch Out ,Various Artists ,,Creations
Rumble ,The Flamin' Groovies ,CED 243,F. L. Wary Sr.
I Won't Play Your Game ,Various Artists ,ED-362,unknown 
Hey Baby ,Terry Manning and The Wild Ones ,ED-374,Cobb-Channel 
Steak's Theme ,"Arch Hall, Jr. & The Archers ",CED307,
Bad To Worse ,The Real Kids ,CED-231,J. Felice
Don't Wait ,Various Artists ,CED-320,***
Thunder Express ,The Hentchmen ,CED245,The Hentchmen
Underground Lady ,Kim Fowley ,CED-355,"Fowley, Geddes "
Wild Wild Lover (Demo #2) ,Benny Joy ,ED-349,Benny Joy Eidson-John Taylor
Louie Go Home ,A-Bones ,CED-310,Revere-Lindsay
Dedications ,The Mad Daddy ,CED300,P. Myers
Rockin' The Joint ,Esquerita ,CED-202,Eskew Reeder
Let's Start All Over Again ,Flat Duo Jets ,CED-230,
I Couldn't Care Less ,The Untamed Youth ,CED263,
One Mile w/Rudy Grayzell ,The A-Bones ,CED-310,Dugosh
Mound Of Clay ,Charlie Feathers ,CED-334,
Two Tub Man ,The Dictators ,,A. Shernoff
Stinky ,Various Artists ,CED-228,Bunky James
I'm A Fool ,The Alarm Clocks ,CED285,
On Fire ,Various Artists ,CED-235,
Mashed Potato Time ,The Sonics ,CNW-909,
Steady With Betty ,The A-Bones ,CED-254,Benny Joy Eidson-Shelby Singleton
Shakedown ,Bobby Fuller ,CED252,
She's In Another World ,Various Artists ,ED 341,
Cleopatra ,Various Artists ,CED-271,Litkei
Nancy Czar Interview ,"Arch Hall, Jr. & The Archers ",CED307,
Bandstand Rocket ,The A-Bones ,CED-224,Evans
Smith Furniture ,Various Artists ,CED-314,Bolton
Mojo Workout ,Link Cromwell & The Zoo ,CED273,
No Tomorrow ,The Dictators ,CED-319,A. Shernoff
Little Red Book ,Various Artists ,,Benny Joy Eidson
Do The Fly ,Various Artists ,CED-910,
Teenage Head ,A-Bones ,CED-310,Loney-Jordan 
Crazy Wavy Groovy Gravy Dedications / Wolf Call ,The Mad Daddy ,CED300,P. Myers
Goin' To A Town ,Flat Duo Jets ,CED-259,Dex Romweber
The Raging Sea (dmo version) ,Various Artists ,CED-226,Gene Maltais
My Babe ,The Del-Tino's and The Hesitations ,CED-261,Dixon
Turning Off A Memory ,Hasil Adkins ,CED-203,
Viva Viva Rock And Roll ,Various Artists ,,C. Berry
I Seek A New World ,Sun Ra ,ED-365,Sun Ra 
"Back Beat, No. 1 ",The Del-Aires ,ED-385,Petze-Petze-Pizzi-Collins 
The Vampire Radio Spot ,T. Valentine ,CED280,Thurman Valentine
Tambour ,Various Artists ,CED-236,***
No Trespassing In London ,Various Artists ,CNW-908,***
Beer Bust Blues ,The Untamed Youth ,CED-249,
Channel Surfing ,The Dictators ,DFFD-002,A. shernoff
Woman ,Various Artists ,ED 343,x
Emergency Exit ,Outcasts ,ED-378,Ken Hollihan 
I'll Come To You ,Various Artists ,CED306,
Lonely Wind/Help Me ,Hasil Adkins ,CED-217,H. Adkins
I'm Ready ,Various Artists ,CED-314,
Who Drank My Beer ,The Church Keys ,CED-269,Bartholomew
Take And Give ,The Flat Duo Jets ,CED-250,Hesselbein-Rhodes
I'm So Sick Of Everything ,Figures of Light ,CED-336,***
Yes I Do ,Roy Head And The Traits ,CED - 358,Head-Gibson-Bolton-Frazier-Buie-Pennington
The Bells of Saint Mary's (Acappella) ,Various Artists ,Norton/Massabesic105,"Traditional, REBEL LUKE III "
Fall In Love With Me (With Hanna Savage) ,The Mighty Hannibal ,CED290,James T. Shaw
Feels Good ,Stud Cole ,CED293,
Rhythm Rockers Dance Ad #3 ,Wade Curtiss & The Rhythm Rockers ,CED-258,Curtiss
Quarter To Four ,Various Artists ,,
Six Long Weeks ,The A-Bones ,CED-345,Matthews-Woodard
Love Me Today ,Jack Starr ,ED-204,Jason Patrick Munsey 
You're Never Gonna See Me Cry ,Mary Weiss ,CED-323,Billy Miller-Andy Shernoff
Dressed In Plaid ,King Coleman ,CED298,Coleman
Shumwaa ,Various Artists ,CED-228,
Number Nine Train ,Various Artists ,,Robinson
Knockout ,Ron Haydock & The Boppers ,CED 247,Ron Haydock
Empty Heart ,Coba Seas (feat. James Williamson) ,ED-364,Nanker Phelge 
Bacardi ,Various Artists ,ED-372,Bell-Green 
Jaguar Jazz ,Various Artists ,CED275,
The Claw ,The A-Bones ,CED-233,Bennett-Miller
Cooker ,Various Artists ,CNW-906,
Have You Ever ,Charlie Feathers ,CED246,C. Feathers
Space Stroll (45 Version) ,Sun Ra ,CED-354,"C. Otis, N. Lee "
Hey…High School Baby ,Benny Joy ,ED-347,Benny Joy Eidson
Growing Guts ,Link Wray ,,"F. L. Wray, Sr."
Little Girl ,Various Artists ,CED304,
Walk And Talk With Me ,Hasil Adkins ,CED-216,H. Adkins
I've Been Loving You Too Long ,Flat Duo Jets ,CED-241,Redding-Butler
Mod Lang (Studio Rehearsal) ,Big Star ,CED265,Chilton-Rosebrough
The Chase ,Bobby Fuller ,CED252,B. Fuller
Zippered Up Heart ,Various Artists ,ED 344,
The Lemon Drop ,"Dave ""Baby"" Cortez ",ED-380,Cortez 
Baby (Better Get On Home) ,Various Artists ,CED306,
Teenage Mummy Radio Spot #2 ,The A-Bones ,CED-224,Miller-Bennett-Linna-Natale-Espense
Hot Rod ,Various Artists ,CED-314,
So Long ,Long John Hunter ,CED270,Hunter
Turn Me Loose ,Link Wray ,CED-210,
You Should Have Been True ,Gino Washington ,CED-295,"George ""Gino"" Washington"
"Don't Ring, Come On In ",The Ding-Dongs ,CED - 357,
Evil Eye ,Daddy Long Legs ,ED 382,M. Akturk-B. Hurd-J. Styles 
Bongo Guitar ,Various Artists ,CED291,
Madness ,Various Artists ,CED296,
Sing Sing Sing ,Flat Duo Jets ,CED-259,
It's Lame ,Various Artists ,,Dixon-Downey
Don't Let Me Go ,Various Artists ,CED-910,
Born Bad ,Jack Starr ,ED-204,J. Munsey 
Shake A Tail Feather ,Various Artists ,CED - 287,Hayes-Williams-Rice
I Wanna Be Your Favorite Pair Of Pajamas ,Andre Williams & Green Hornet ,CED299,Williams-Collins-Kroha
Honey Child ,Various Artists ,CED-227,
Livin' ,Various Artists ,CED - 287,T. Hada
She Come Alive ,The Real Kids ,CED-266,J. Felice
Wobble Wickie ,Various Artists ,,***
All The Time ,Bloodshot Bill ,ED-370,Bloodshot Bill 
You're Wrong ,Various Artists ,ED-371,Garmon 
Vietnamese Baby ,New York Dolls ,CED279,
Ju Ju Hand ,Various Artists ,CED-234,
I Know ,Various Artists ,CNW-907,
What'll You Have ,The Untamed Youth ,CED-249,
Love Letters Full Of Promises (Unissued) ,Sun Ra ,CED-352,"J. Rogers, L. Hollings "
"Little Girl, Little Girl ",Benny Joy ,ED-346,Benny Joy Eidson
Please Please Me ,Link Wray ,,Lennon-McCartney
Come On ,Various Artists ,CED305,
I'm Alone ,Hasil Adkins ,CED-217,H. Adkins
Blue Blue Dream ,Various Artists ,CED-312,G. Usher
Senseless ,The Real Kids ,CED267,J. Felice
Can't Get Enough Of You Baby ,Question Mark & The Mysterians ,CED-262,
Cockroach ,Charlie Feathers ,CED-332,C. Feathers
On And On ,The Girls At Dawn ,CED - 361,Girls At Dawn
Baby I Miss You So ,Various Artists ,Norton/Massabesic105,
Get In The Groove ,The Mighty Hannibal ,CED290,James T. Shaw
Come Dance With Me ,Various Artists ,CNW912,
Real Cool ,Wade Curtiss & The Rhythm Rockers ,CED-258,Curtiss
